Line,Line,LineName,Sub-Region of Primary Service,Predominant Vehicle Type,TSG Service Type, POP , EMP ,DataCapture, Average One-Way Trip Distance (km) , Notes ,Service Change 1,Service Change 2,Service Change 3,Service Change 4,Service Change 5,Service Change 6,Service Change 7,Service Change 8,Service Change 9
180,180,MOODY CENTRE STN/LOUGHEED STN,Northeast Sector,Mini-Bus,Peak Frequent," 37,000 "," 10,000 ",400m, 9.6 ,,- Winter 2016: Revise due to Evergreen Extension; Renumber former C24 as new 180; Convert peak trips to standard 40' buses (M-F),- Spring 2017: Increase service 09:00-15:00 from every 30 to 15 min (M-F),- Summer 2017: Increase service 19:00-21:00 from every 30 to 20 min (M-F); Increase service 11:00-18:00 from every 30 to 20 min and 21:00-24:00 from every 60 to 30 min (Sat; S/H),0,0,0,0,0,0
181,181,MOODY CENTRE STN/IOCO,Northeast Sector,Mini-Bus,Basic," 13,000 "," 5,000 ",400m, 8.3 ,,- Winter 2016: Revise due to Evergreen Extension; Renumber former C25 as new 181 (all days),Fall 2018: Increase service during midday from every 60 to 40 min (M-F),0,0,0,0,0,0,0
182,182,MOODY CENTRE STN/BELCARRA,Northeast Sector,Mini-Bus,Basic," 17,000 "," 6,000 ",400m, 19.5 , Data reflects Evergreen Extension changes in Dec 2016 ,- Winter 2016: Reroute due to Evergreen Extension; Renumber former C26 as new 182; Run all trips via Ravine Dr pattern and discontinue Heritage Mountain Blvd pattern (all days),- Spring 2017: Increase service 09:00-15:00 from every 60 to 30 min (M-F),Spring 2019: Increase service 18:00-19:00 from every 60 to 30 min (M-F),0,0,0,0,0,0
183,183,MOODY CENTRE STN/COQUITLAM CENTRAL STN,Northeast Sector,Std. Bus,Peak Frequent," 52,000 "," 15,000 ",400m, 13.3 , Data reflects Evergreen Extension changes in Dec 2016 ,- Winter 2016: Reroute due to Evergreen Extension; Reroute former C27 as new 183 via Pinetree Way and discontinue routing via Lansdowne Dr and Guildford Way to be served by 185 (all days),- Summer 2017: Increase service during a.m./p.m. peaks from every 20 to 15 min to meet WCE (M-F),"- Winter 2017: Convert vehicle from standard 40' bus to community shuttle before 06:00 and after 20:00 (M-F) and after 20:00 (Sat, S/H)",0,0,0,0,0,0
184/185,184/185,MOODY CTR STN/NOONS CREEK – COQ CTRL STN/LANSDOWNE,Northeast Sector,Mini-Bus,Peak Frequent," 34,000 "," 14,000 ",,, 184/185 run as a connected route; Data reflects Evergreen changes in Dec 2016 ,- Winter 2016: Reroute due to Evergreen Extension; Reroute western portion of former C28 as new 184 via Noons Creek Dr (all days),- Winter 2016: Reroute due to Evergreen Extension; Reroute central portion of former C28 as new 185 via Lansdowne Dr to service discontinued portion of C27 (all days),- Spring 2017: Extend WB a.m. service to meet 06:15 WCE train (M-F),0,0,0,0,0,0
186,186,COQUITLAM CENTRAL STN/HAMPTON PARK,Northeast Sector,Mini-Bus,Peak Frequent," 33,000 "," 10,000 ",400m, 6.4 , Data reflects Evergreen Extension changes in Dec 2016 ,- Winter 2016: Reroute due to Evergreen Extension; Reroute eastern portion of former C28 as new 186 btw Coquitlam Central Stn and Hampton Park (all days),- Summer 2017: Introduce short-turn trips at Pipeline and Robson during a.m./p.m. peaks to meet WCE (M-F),0,0,0,0,0,0,0
187,187,COQUITLAM CENTRAL STN/PARKWAY BLVD,Northeast Sector,Mini-Bus,Peak Frequent," 26,000 "," 9,000 ",400m, 6.1 ,,- Winter 2016: Revise due to Evergreen Extension; Renumber former C29 as new 187 (all days),- Summer 2017: Introduce short-turn trips at Robson and Waterford during a.m./p.m. peak to meet WCE (M-F),0,0,0,0,0,0,0
188,188,COQUITLAM CENTRAL STN/PORT COQ STN,Northeast Sector,Std. Bus,Peak Frequent," 54,000 "," 16,000 ",400m, 12.6 ,,- Winter 2016: Revise due to Evergreen Extension; Convert all vehicles to standard 40' buses (all days),0,0,0,0,0,0,0,0
189,189,COQUITLAM CENTRAL STN/LAFARGE PARK,Northeast Sector,Mini-Bus,Standard," 18,000 "," 8,000 ",400m, 4.1 ,,- Winter 2016: Reroute due to Evergreen Extension; Reroute former C30 as new 189 via Lincoln Ave and discontinue route via Glen Dr (all days),0,0,0,0,0,0,0,0
191,191,COQUITLAM CENTRAL STN/PRINCETON,Northeast Sector,Std. Bus,Standard," 34,000 "," 9,000 ",400m, 7.2 , New route to Burke Mountain Dec 2016 ,- Winter 2016: Introduce new 30-min service btw Coquitlam Central Stn and Burke Mountain via Pinetree Way and David Ave (all days),0,0,0,0,0,0,0,0
209,209,UPPER LYNN VALLEY/VANCOUVER,North Shore,Std. Bus,Special," 79,000 "," 125,000 ",400m, 16.5 ,,0,0,0,0,0,0,0,0,0
210,210,UPPER LYNN VALLEY/VANCOUVER,North Shore,Std. Bus,Peak Frequent," 73,000 "," 120,000 ",400m, 16.5 ,,Summer 2019: Increase service 18:00-19:00 from every 30 to 20 mins (Sat),0,0,0,0,0,0,0,0
211,211,SEYMOUR/PHIBBS EXCH/VANCOUVER,North Shore,Std. Bus,Peak Frequent," 65,000 "," 120,000 ",400m, 16.0 ,,0,0,,0,0,0,0,0,0
212,212,DEEP COVE/PHIBBS EXCH,North Shore,Std. Bus,Standard," 11,000 "," 6,000 ",400m, 8.8 ,,0,0,0,0,0,0,0,0,0
214,214,BLUERIDGE/PHIBBS EXCH/VANCOUVER,North Shore,Mini-Bus,Standard," 59,000 "," 118,000 ",400m, 6.9 ,,0,0,0,0,0,0,0,0,0
215,215,INDIAN RIVER/PHIBBS EXCH,North Shore,Mini-Bus,Peak Frequent," 11,000 "," 6,000 ",400m, 7.1 , Limited data sampling 2015 ,- Spring 2018: Change route name from C15 to 215 (all days),0,0,0,0,0,0,0,0
227,227,LYNN VALLEY CENTRE/PHIBBS EXCH,North Shore,Mini-Bus,Standard," 18,000 "," 7,000 ",400m, 7.1 , Limited data sampling 2015 ,0,0,0,0,0,0,0,0,0
228,228,LYNN VALLEY/LONSDALE QUAY,North Shore,Std. Bus,Peak Frequent," 37,000 "," 9,000 ",400m, 7.8 ,,- Winter 2018: Extend 07:15 SB trip from Grand Boulevard to Lonsdale Quay (M-F),0,0,0,0,0,0,0,0
229,229,LYNN VALLEY/LONSDALE QUAY,North Shore,Std. Bus,Standard," 48,000 "," 15,000 ",400m, 6.2 ,,- Spring 2018: Increase service 13:00-20:00 from every 30 to 20 min and 21:00-24:00 from every 60 to 30 min (Sat); Increase service 14:00-20:00 from every 30 to 20 min and 21:00-24:00 from every 60 to 30 min (S/H),"- Fall 2018: Increase service 14:00-16:00 from every 30 to 20 min, 16:00-18:00 from every 30 to 15 min, and 21:00-24:00 from every 60 to 30 min (M-F)",Spring 2019: Extend service until 01:54 (Sat),0,0,0,0,0,0
230,230,UPPER LONSDALE/LONSDALE QUAY,North Shore,Std. Bus,Standard," 39,000 "," 13,000 ",400m, 5.7 ,,0,0,0,0,0,0,0,0,0
231,231,HARBOURSIDE/LONSDALE QUAY,North Shore,Std. Bus,Peak Only Limited," 9,000 "," 10,000 ",400m, 2.8 ,,0,0,0,0,0,0,0,0,0
232,232,GROUSE MOUNTAIN/PHIBBS EXCH,North Shore,Std. Bus,Standard," 45,000 "," 15,000 ",400m, 13.3 ,,0,0,0,0,0,0,0,0,0
236,236,GROUSE MOUNTAIN/LONSDALE QUAY,North Shore,Std. Bus,Standard," 26,000 "," 13,000 ",400m, 9.6 ,,0,0,0,0,0,0,0,0,0
239,239,CAPILANO UNIVERSITY/PARK ROYAL,North Shore,Std. Bus,All Day Frequent," 39,000 "," 26,000 ",400m, 13.2 ,,- Fall 2018: Reroute trips after 13:00 to run on Lillooet Rd instead of Old Lillooet Rd (M-F),,0,0,0,0,0,0,0
240,240,15TH STREET/VANCOUVER,North Shore,Std. Bus,All Day Frequent," 90,000 "," 137,000 ",400m, 12.5 ,,- Fall 2017: Increase service during a.m. peak from every 9-15 to 8-12 min and during p.m. peak from every 10 to 9 min (M-F); Increase service 13:00-18:00 from every 12 to 10 min (Sat),Spring 2019: Increase service 11:00-13:00 from every 15 to 12 mins (Sat),Summer 2019: Increase service 22:00-23:00 from every 30 to 20 mins (M-F); Increase service 15:00-18:00 from every 15 to 12 mins (S/H),0,0,0,0,0,0
241,241,UPPER LONSDALE/VANCOUVER,North Shore,Std. Bus,Peak Only Limited," 95,000 "," 138,000 ",400m, 11.7 ,,0,0,0,0,0,0,0,0,0
242,242,LYNN VALLEY/VANCOUVER,North Shore,Std. Bus,Special," 123,000 "," 147,000 ",400m, 13.1 ,,- Summer 2016: Revise northern terminus from Upper Lonsdale to Lynn Valley to match N24 routing (all days),0,0,0,0,0,0,0,0
246/249,246,LONSDALE QUAY/DELBROOK - HIGHLAND/DOWNTOWN,North Shore,Std. Bus,Peak Frequent," 99,000 "," 137,000 ",400m, 9.4 , 246/249 run as a connected route ,Fall 2019: Rename western portion of route to 246 Downtown/Highland; Rename eastern portion of route to 249 Lonsdale Quay/Delbrook,0,0,0,0,0,0,0,0
247,247,UPPER CAPILANO/GROUSE MOUNTAIN/VANCOUVER,North Shore,Std. Bus,Peak Only Limited," 78,000 "," 126,000 ",400m, 10.9 , Low data sampling 2015 ,- Winter 2018: Extend 16:05 NB trip from Montroyal Blvd to Grouse Mtn (M-F),0,0,0,0,0,0,0,0
250,250,HORSESHOE BAY/DUNDARAVE/VANCOUVER,North Shore,Std. Bus,All Day Frequent," 86,000 "," 136,000 ",400m, 15.2 ,,- Spring 2017: Increase service 08:00-23:00 from every 9-30 to 8-15 min btw Dundarave and Downtown Vancouver (Sat),Spring 2019: Increase service 07:00-08:00 from every 30 to 20 mins and 14:00-18:00 from every 30 to 20 mins (M-F); Increase service 08:00-09:00 from every 30 to 20 mins (S/H),Spring 2019: Increase service 07:00-08:00 from every 8-10 to 7-10 mins on 250A (M-F); Increase service 17:00-18:00 from every 7-15 to 6-12 mins (M-F),0,0,0,0,0,0
251,251,QUEENS/PARK ROYAL,North Shore,Mini-Bus,Basic," 16,000 "," 10,000 ",400m, 9.8 , Limited data sampling 2015 ,0,0,0,0,0,0,0,0,0
252,252,INGLEWOOD/PARK ROYAL,North Shore,Mini-Bus,Basic," 15,000 "," 10,000 ",400m, 6.6 , Limited data sampling 2015 ,0,0,0,0,0,0,0,0,0
253,253,CAULFEILD/VANCOUVER/PARK ROYAL,North Shore,Std. Bus,Basic," 85,000 "," 135,000 ",400m, 13.5 , Low data sampling 2016 ,- Spring 2017: Increase service all day from every 120 to 60 min (S/H),0,0,0,0,0,0,0,0
254,254,BRITISH PROPERTIES/PARK ROYAL/VANCOUVER,North Shore,Std. Bus,Basic," 82,000 "," 133,000 ",400m, 10.0 , Low data sampling 2016 ,- Spring 2017: Increase service all day from every 120 to 60 min (S/H),0,0,0,0,0,0,0,0
255,255,DUNDARAVE/CAPILANO UNIVERSITY,North Shore,Std. Bus,Peak Frequent," 58,000 "," 27,000 ",400m, 16.5 ,,"- Spring 2017:, Increase service during a.m./p.m. peaks from every 30 to 20 min (M-F)",0,0,0,0,0,0,0,0
256,256,FOLKSTONE WAY/WHITBY ESTATE/SPURAWAY,North Shore,Mini-Bus,Basic," 18,000 "," 9,000 ",400m, 7.9 , Limited data sampling 2015 ,0,0,0,0,0,0,0,0,0
257,257,HORSESHOE BAY/VANCOUVER EXPRESS,North Shore,Artic. Bus,Standard," 63,000 "," 129,000 ",400m, 21.8 ,,- Summer 2016: Adjust stopping pattern to improve travel time,"- Summer 2017: Increase service 09:00-12:00 and 16:00-19:00 from every 15-30 to 15-20 min (M-F); Add 1 trip/hr during busy periods (Sat, S/H)",- Fall 2018: Introduce new service span 05:50-06:20 and 23:00-23:20 (all days); Provide consistent 20-min service from 07:00-20:00 (All days),Spring 2019: Extend service to start at 04:55 (Sat),0,0,0,0,0
258,258,UBC/WEST VANCOUVER,North Shore,Std. Bus,Peak Only Limited," 30,000 "," 54,000 ",400m, 18.8 , Low data sampling 2016-2018 ,0,0,0,0,0,0,0,0,0
262,262,LIONS BAY/CAULFEILD,North Shore,Mini-Bus,Basic," 3,000 "," 1,000 ",400m, 17.9 , Route combined with 259 in Oct 2018; Data reflects both starting Sep 2018; Limited data sampling 2015 ,- Spring 2018: Change route name from C12 to 262 (all days),- Winter 2018: Convert 259 trips to 262 schedule (M-F); 259 discontinued (M-F),0,0,0,0,0,0,0
280,280,BLUEWATER/SNUG COVE,North Shore,Mini-Bus,Basic," 1,000 "," 1,000 ",400m, 12.5 , No data sampling 2015-2017 ,- Spring 2017: Extend WB service until 20:00 (M-F),- Spring 2018: Change route name from C10 to 280 (all days),0,0,0,0,0,0,0
281,281,EAGLE CLIFF/SNUG COVE,North Shore,Mini-Bus,Basic," 1,000 ", -   ,400m, 6.6 , Data reflects split with 282 in summer 2018; No data sampling 2015-2017 ,- Spring 2017: Extend WB service until 20:00 (M-F),- Spring 2018: Change route name from C11 to 281 (all days),0,0,0,0,0,0,0
282,282,MT GARDNER/SNUG COVE,North Shore,Mini-Bus,Special," 1,000 ", -   ,400m,, Data reflects split with 281 in summer 2018; See 281 for earlier data ,"- Fall 2018: Introduce new route replacing Mt Gardner pattern of route 281 (Sat, S/H)",0,0,0,0,0,0,,
301,301,NEWTON EXCH/BRIGHOUSE STN,Southwest,Double Decker,Basic," 73,000 "," 27,000 ",400m, 30.8 ,,- Spring 2017: Increase service during a.m./p.m. peaks from every 20 to 15 min (M-F),-Fall 2019: Switch vehicle to double decker from standard bus (all days),Spring 2019: Increase service 06:00-20:00 from every 60 to 30 mins (Sat),Summer 2019: Increase service all day from every 60 to 30 mins (S/H),Fall 2019: Increase service 19:00-22:00 from every 60 to 30 mins (M-F); Introduce new double decker buses on route,0,0,0,0
310,310,SCOTTSDALE EXCH/LADNER EXCH,Southeast,Mini-Bus,Basic," 27,000 "," 6,000 ",400m, 19.5 ,,- Summer 2018: Change route name from C76 to 310 (all days),"- Winter 2018: Increase service 07:40-08:40 WB from every 60 to 30 min (Sat, S/H)",Spring 2019: Extend service to start at 06:45 (Sat) and 07:15 (S/H),0,0,0,0,0,0
311,311,SCOTTSDALE EXCH/BRIDGEPORT STN,Southeast,Std. Bus,Peak Only Limited," 21,000 "," 8,000 ",400m, 26.9 ,,0,0,0,0,0,0,0,0,0
312,312,SCOTTSDALE EXCH/SCOTT ROAD STN,Southeast,Std. Bus,Standard," 36,000 "," 7,000 ",400m, 11.9 ,,- Winter 2018: Add last SB trip at 01:34 (M-F),Spring 2019: Increase service 07:00-09:00 and 18:00-21:00 from every 60 to 30 mins (Sat),0,0,0,0,0,0,0
314,314,SURREY CENTRAL STN/SUNBURY,Southeast,Std. Bus,Basic," 60,000 "," 17,000 ",400m, 9.2 ,,0,0,0,0,0,0,0,0,0
316,316,SURREY CENTRAL STN/SCOTTSDALE EXCH,Southeast,Std. Bus,Basic," 56,000 "," 11,000 ",400m, 11.6 ,,0,0,0,0,0,0,0,0,0
319,319,SCOTT ROAD STN/NEWTON EXCH,Southeast,Std. Bus,All Day Frequent," 49,000 "," 16,000 ",400m, 12.0 ,,"- Spring 2017: Increase service during a.m./p.m. peak from every 8 to 7 min, 17:00-21:00 from every 10 to 9 min, 21:00-24:00 from every 20 to 15 min (M-F)",- Winter 2017: Increase service 06:00-07:00 NB from every 20 to 15 min (Sat),- Summer 2018: Increase service 17:00-23:00 from every 8-20 to 7-15 min (M-F),- Fall 2018: Increase service 17:00-25:00 from every 15-30 to 12-20 min (Sat),- Winter 2018: Add first NB trip at 04:33 (M-F); Increase service 05:00-07:30 from every 10-20 to 12 min (Sat),Spring 2019: Increase service 21:00-24:00 from every 30 to 15 mins (S/H),"Summer 2019: Increase service 17:00-23:30 from every 7.5-15 to 6-10 mins and 23:30-01:00 from every 30 to 20 mins (M-F); Increase service 06:00-09:00 from every 12 to 10 mins, 17:00-21:00 from every 15 to 10 mins (Sat); Increase service 13:00-20:00 from every 15 to 10-12 mins (S/H)",0,0
320,320,LANGLEY/FLEETWOOD/SURREY CTRL STN,Southeast,Std. Bus,All Day Frequent," 87,000 "," 43,000 ",400m, 15.6 ,,- Fall 2016: Reroute from 64th Ave to 60th Ave near Cloverdale (all days),- Fall 2018: Increase service 06:00-08:00 and 16:00-19:00 from every 15 to 12 min (M-F),0,0,0,0,0,0,0
321,321,WHITE ROCK CENTRE/NEWTON EXCH/SURREY CTRL STN,Southeast,Std. Bus,All Day Frequent," 105,000 "," 38,000 ",400m, 21.0 ,,- Fall 2018: Increase service 16:00-18:00 from every 15 to 12 min (M-F),Spring 2019: Extend service to start at 04:16 (M-F); Increase service 21:00-22:00 from 30 to 20 mins (M-F),0,0,0,0,0,0,0
322,322,NEWTON EXCH/SCOTTSDALE EXCH,Southeast,Mini-Bus,Standard," 57,000 "," 10,000 ",400m, 14.7 ,,- Summer 2018: Change route name from C75 to 322 (all days),0,0,0,0,0,0,0,0
323,323,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Frequent," 46,000 "," 22,000 ",400m, 10.3 ,,- Winter 2017: Increase service 08:00-09:00 SB from every 15 to 12 min (M-F),"- Fall 2018: Increase service 06:00-08:00 from every 20 to 15 min, 16:00-19:00 from every 15 to 12 min, and 19:00-20:00 from every 30 to 20 min (M-F)",Spring 2019: Add early morning trips between 05:00-06:00 and late night trips between 00:00-02:00 (all days),"Summer 2019: Increase service 19:00-21:00 from every 30 to 15 mins, SB 21:00-22:00 from every 30 to 20 mins, and 22:00-23:00 from every 60 to 30 mins (M-F); Increase service 15:00-18:00 from every 20 to 15 mins (Sat); Increase service 16:00-19:00 from every 20 to 15 mins and SB 19:00-20:00 from every 30 to 20 mins (S/H)",0,0,0,0,0
324,324,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Standard," 48,000 "," 16,000 ",400m, 9.8 ,,Summer 2019: Increase service NB 05:00-07:00 from every 30 to 20 mins and SB 18:00-19:00 from every 20 to 15 mins (M-F),0,0,0,0,0,0,0,0
325,325,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Standard," 45,000 "," 14,000 ",400m, 7.5 ,,- Winter 2018: Add first trip at 05:35 (M-F),,0,0,0,0,0,0,0
326,326,GUILDFORD EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Basic," 66,000 "," 23,000 ",400m, 11.5 ,,0,0,0,0,0,0,0,0,0
329,329,SURREY CENTRAL STN/SCOTTSDALE EXCH,Southeast,Std. Bus,Basic," 65,000 "," 20,000 ",400m, 10.0 ,,0,0,0,0,0,0,0,0,0
335,335,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Frequent," 106,000 "," 26,000 ",400m, 13.4 ,,- Summer 2015: Add two trips departing Surrey Central on the p.m. peak shoulder (M-F),- Summer 2015: Extend the 21:40 trip from Guildford to Newton Exchange (M-F),- Spring 2017: Increase service 16:00-18:00 from every 10 to 8-9 min btw Surrey Central and Guilford and from every 20 to 15 min btw Guilford and Newton (M-F); Increase service 16:00-20:00 (Sat) and 17:00-190:0 (S/H) from every 30 to 20 min; Extend 30m service until 24:00 (all days),- Fall 2018: Extend 14:30 trip to Newton Exchange (M-F),Spring 2019: Extend morning trips to the full length of the route (M-F),Summer 2019: Increase service 19:00-20:00 from every 30 to 20 mins (M-F); Increase service 18:00-20:00 from every 30 to 20 mins (Sat),0,0,0
337,337,FRASER HEIGHTS/GUILDFORD EXCH/SURREY CTRL STN,Southeast,Std. Bus,All Day Frequent," 49,000 "," 15,000 ",400m, 8.6 ,,- Winter 2017: Increase service 19:00-21:00 from every 30 to 15 min and 21:00-22:00 from every 30 to 20 min (M-F),- Spring 2018: Increase service 07:00-09:00 from every 30 to 15 min (Sat); Increase service 08:00-10:00 from every 30 to 15 min (Sun),- Fall 2018: Increase service 07:00-08:00 from every 15 to 12 min (M-F),0,0,0,0,0,0
340,340,SCOTTSDALE EXCH/22ND ST STN,Southeast,Std. Bus,Peak Frequent," 25,000 "," 9,000 ",400m, 16.1 ,,- Spring 2016: Add one bus/hour from 06:00-19:00 for Pattullo Bridge Rehabilitation (M-F),- Fall 2016: Return to regular service levels after Pattullo Bridge Rehabilitation (remove one bus/hour from 06:00-19:00; M-F),Summer 2019: Increase service 05:30-09:00 from every 30 to 20 mins and 16:00-19:00 from every 30 to 20 mins (Sat),0,0,0,0,0,0
341,341,GUILDFORD EXCH/NEWTON EXCH,Southeast,Std. Bus,Standard," 49,000 "," 13,000 ",400m, 9.1 , Data reflects split with 342 in Sep 2016 ,"- Fall 2016: Split 341 at Newton Exchange, this route operates btw Guildford and Newton Exchange (all days)",Summer 2019: Increase service SB 05:00-07:00 from every 30 to 20 mins (M-F),0,0,0,0,0,0,0
342,342,LANGLEY CENTRE/NEWTON EXCH,Southeast,Std. Bus,Standard," 53,000 "," 26,000 ",400m, 20.8 , Data reflects split with 341 in Sep 2016; See 341 for earlier data ,"- Fall 2016: Split 341 at Newton Exchange, this route operates btw Newton Exchange and Langley Ctr (all days)",Fall 2019: Increase service EB 15:00-16:00 from every 30 to 20 mins (M-F),0,0,0,0,0,0,0
345,345,KING GEORGE STN/WHITE ROCK CENTRE,Southeast,Std. Bus,Basic," 60,000 "," 26,000 ",400m, 20.1 ,,- Spring 2018: Convert vehicle on last 3 trips of the night from community shuttle to standard 40' bus (all days),Summer 2019: Increase service NB 05:00-06:00 from every 30 to 20 mins and NB 08:00-10:00 from every 30 to 20 mins (M-F),0,0,0,0,0,0,0
351,351,CRESCENT BEACH/BRIDGEPORT STN,Southeast,Std. Bus,All Day Frequent," 41,000 "," 16,000 ",400m, 44.2 ,,- Spring 2015: Add one trip departing Bridgeport Station on p.m. peak shoulder (M-F),- Summer 2015: Terminate two a.m. peak trips at White Rock Ctr to reduce service in Crescent Beach area (M-F),- Fall 2017: Increase service during a.m./p.m. peaks from every 9-15 to 8-12 min (M-F),- Winter 2017: Increase service 07:00-08:00 NB from every 8.5 to 7.5 min (M-F),- Fall 2018: Shorten SB trips 24:00-26:00 at 128 St/Crescent Rd unless further stop requested by customer (all days),"- Winter 2018,: Add 2 p.m. peak trips 18:00-19:00 btw South Surrey P&R and Bridgeport Stn (M-F)",Spring 2019: Increase service 08:00-10:00 from every 12 to 10 mins (M-F),0,0
352,352,OCEAN PARK /BRIDGEPORT STN,Southeast,Std. Bus,Peak Only Limited," 18,000 "," 5,000 ",400m, 44.8 ,,0,0,0,0,0,0,0,0,0
354,354,WHITE ROCK SOUTH/BRIDGEPORT STN,Southeast,Std. Bus,Peak Only Limited," 42,000 "," 19,000 ",400m, 41.0 , Data reflects new service area to Morgan Creek in Sep 2017 ,- Fall 2017: Reroute to serve Morgan Creek via 160th Street and 32nd Avenue (all days),0,0,0,0,0,0,0,0
360,360,OCEAN PARK/PEACE ARCH HOSPITAL,Southeast,Mini-Bus,Basic," 28,000 "," 8,000 ",400m, 12.2 ,,- Fall 2017: Renumber former C50 to new 360 (all days),- Spring 2017: Increase service 06:00-15:00 from every 60 to 30 min (M-F),0,0,0,0,0,0,0
361,361,OCEAN PARK/WHITE ROCK CENTRE,Southeast,Mini-Bus,Basic," 31,000 "," 10,000 ",400m, 11.2 ,,- Fall 2017: Renumber former C51 to new 361 (all days),- Spring 2017: Increase service 09:00-15:00 from every 60 to 30 min (M-F),0,0,0,0,0,0,0
362,362,SEASIDE/WHITE ROCK CENTRE,Southeast,Mini-Bus,Standard," 20,000 "," 8,000 ",400m, 3.5 ,,"- Fall 2017: Renumber former C52 to new 362 (all days); Maintain summer seasonal increase permanently 19:00-22:00 (M-F), 08:00-24:00 (Sat), 08:00-22:00 (S/H) from every 60 to 30 min ",- Spring 2017: Increase service 09:00-15:00 from every 60 to 30 min (M-F),0,0,0,0,0,0,0
363,363,SOUTHPOINT/PEACE ARCH HOSPITAL,Southeast,Mini-Bus,Standard," 38,000 "," 15,000 ",400m, 11.9 , Data reflects new service area to Morgan Creek in Sep 2017 ,- Fall 2017: Renumber former C53 to new 363; Reroute to Morgan Creek via 32nd Avenue (all days),- Spring 2017: Increase service 09:00-15:00 from every 60 to 30 min (M-F),0,0,0,0,0,0,0
364,364,LANGLEY CENTRE/SCOTTSDALE EXCH,Southeast,Std. Bus,Standard," 61,000 "," 23,000 ",400m, 21.7 ,,0,0,0,0,0,0,0,0,0
370,370,CLOVERDALE/WILLOWBROOK,Southeast,Mini-Bus,Basic," 31,000 "," 9,000 ",400m, 10.5 ,,- Winter 2017: Operate route by contractor (M-F),- Summer 2018: Change route name from C70 to 370 (all days),0,0,0,0,0,0,0
371,371,SURREY CENTRAL STN/SCOTT RD STN,Southeast,Mini-Bus,Basic," 28,000 "," 9,000 ",400m, 8.0 ,,- Spring 2018: Change route name from C71 to 371 (all days),0,0,0,0,0,0,0,0
372,372,CLAYTON HEIGHTS/LANGLEY CENTRE,Southeast,Mini-Bus,Standard," 29,000 "," 14,000 ",400m, 10.2 , New route to Clayton Heights starting Sep 2017 ,- Fall 2017: Introduce new 30-min service to Clayton Heights (all days),- Winter 2017: Introduce new service span 20:00-21:00 running every 30 min (S/H),0,0,0,0,0,0,0
373,373,GUILDFORD EXCH/SURREY CENTRAL STN,Southeast,Mini-Bus,Basic," 54,000 "," 16,000 ",400m, 13.6 ,,- Spring 2017: Increase service during p.m. peak from every 30 to 20 min (M-F),- Spring 2018: Change route name from C73 to 373 (all days),0,0,0,0,0,0,0
375,375,WHITE ROCK/WHITE ROCK SOUTH/GUILDFORD EXCH,Southeast,Std. Bus,Standard," 73,000 "," 25,000 ",400m, 22.2 ,,"- Spring 2017: Extend 60-min SB service until 22:48 (M-F, Sat)",0,0,0,0,0,0,0,0
388,388,22ND ST STN/CARVOLTH EXCH,Southeast,Std. Bus,Peak Only Limited," 44,000 "," 24,000 ",400m, 33.3 , Low data sampling 2015 ,- Spring 2016: Add one bus/hour during a.m./p.m. peaks for Pattullo Bridge Rehabilitation (M-F),- Fall 2016: Return to regular service levels after Pattullo Bridge Rehabilitation (remove one bus/hour during a.m./p.m. peaks; M-F),"- Winter 2018, Convert from community shuttle to standard 40' bus (all days)",0,0,0,0,0,0
391,391,SCOTTSDALE/SCOTT ROAD STN,Southeast,Std. Bus,Peak Only Limited," 33,000 "," 6,000 ",400m, 9.0 ,,0,0,0,0,0,0,0,0,0
393,393,NEWTON EXCH/SURREY CENTRAL STN,Southeast,Std. Bus,Peak Only Limited," 60,000 "," 19,000 ",400m, 13.2 ,,0,0,0,0,0,0,0,0,0
394,394,WHITE ROCK/KING GEORGE STN EXPRESS,Southeast,Std. Bus,Peak Only Limited," 53,000 "," 28,000 ",400m, 20.0 , Low data sampling 2018 ,- Fall 2016: Adjust stopping procedure to simplify route and improve travel times (all days),0,0,0,0,0,0,0,0
395,395,LANGLEY CENTRE/KING GEORGE STN,Southeast,Std. Bus,Peak Only Limited," 59,000 "," 30,000 ",400m, 20.4 ,,- Summer 2015: Revise eastern terminus from 200th St & 6th Ave to Langley Centre (all days),0,0,0,0,0,0,0,0
401,401,ONE ROAD/BRIGHOUSE STN,Southwest,Std. Bus,Peak Frequent," 49,000 "," 18,000 ",400m, 16.7 , Data reflects split with 408 in Sep 2018 ,- Spring 2017: Increase service during a.m./p.m. peaks from every 10-15 to 9-12 min; Increase service 22:00-24:00 from every 60 to 30 min (M-F),"- Fall 2018: Split 401 at Brighouse Stn, this route serves Brighouse Stn to Steveston (all days)",0,0,0,0,0,0,0
402,402,TWO ROAD/BRIGHOUSE STN,Southwest,Std. Bus,Peak Frequent," 53,000 "," 14,000 ",400m, 9.3 ,,- Spring 2015: Add one trip to Richmond-Brighouse Station on a.m. peak shoulder (M-F),- Fall 2018: Increase service 07:00-08:00 from every 12 to 10 min (M-F),0,0,0,0,0,0,0
